,Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,x_pos
0,A04812,SOLVE003,561,571.0,,0.066,1031.0,61380.0,138.2,3.6,3586.0,43.6,A,0
1,A03356,SOLVE003,571,581.0,,0.152,1982.0,50860.0,75.4,4.8,1822.0,36.4,A,0
2,A04764,SOLVE003,581,591.0,,0.068,1064.8,57940.0,29.2,3.0,740.4,36.6,A,0
3,A04626,SOLVE003,591,601.0,,0.074,891.6,48620.0,63.0,4.2,820.8,39.6,A,0
4,A05579,SOLVE003,601,611.0,,0.043125,801.25,51025.0,56.0625,4.875,745.6875,32.3125,A,0
5,A04316,SOLVE004,541,551.0,,0.088,2213.6,55400.0,131.2,3.0,1963.8,25.4,A,1
6,A04127,SOLVE004,551,561.0,,0.098,2679.0,59280.0,93.0,3.0,2085.6,23.4,A,1
7,A05248,SOLVE004,561,571.0,,0.052,1373.6,44060.0,43.0,3.0,1661.6,24.0,A,1
8,A04438,SOLVE004,571,581.0,,0.082,1398.0,33940.0,45.0,3.0,1676.8,31.4,A,1
9,A04198,SOLVE004,581,591.0,,0.094,1500.0,48100.0,119.8,3.0,1263.2,27.2,A,1
10,A05532,SOLVE004,591,601.0,,0.044,762.6,81280.0,43.0,3.0,3377.0,49.0,A,1
11,A05394,SOLVE004,601,611.0,,0.048,654.8,73800.0,20.6,3.4,1120.2,45.2,A,1
12,A05795,SOLVE004,611,621.0,,0.038,772.8,74720.0,45.6,3.0,1092.2,39.0,A,1
13,A05617,SOLVE004,621,631.0,,0.042,344.0,68140.0,11.0,3.0,719.0,32.4,A,1
14,A05189,SOLVE004,631,641.0,,0.054,847.8,82400.0,40.2,3.0,5229.8,34.6,A,1
15,A05078,SOLVE004,641,651.0,,0.058,739.0,84700.0,13.0,15.4,6796.2,87.0,A,1
16,A05190,SOLVE004,651,661.0,,0.054,650.2,71640.0,186.4,3.0,4257.8,34.4,A,1
17,A04167,SOLVE004,661,671.0,,0.096,1188.2,74480.0,171.0,41.8,6282.0,201.6,A,1
18,A06106,SOLVE004,671,681.0,,0.032,269.8,55580.0,11.2,43.6,3724.2,113.2,A,1
19,A04631,SOLVE004,681,691.0,,0.074,1575.4,57000.0,50.2,8.0,1386.6,48.2,A,1
20,A02342,SOLVE004,691,701.0,,0.27,4643.2,52880.0,49.8,3.0,8598.8,29.0,A,1
21,A05079,SOLVE004,701,711.0,,0.058,1205.4,55960.0,17.2,3.0,4864.0,27.4,A,1
22,A02308,SOLVE004,711,721.0,,0.274,1967.4,66040.0,,4.6,2151.0,26.6,A,1
