Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,Pb_category,x_pos,predicted_pbcutoff,score,predicted_class,predicted_weights,depth_mid,Pb_avg3,Mo_avg3,Au_avg3,As_avg3,Fe_avg3,Cu_avg3,S_avg3,Zn_avg3,predicted_xgboost
A04812,SOLVE003,561,571.0,18.13037279967789,0.066,1031.0,61380.0,138.2,3.6,3586.0,43.6,A,1000–2000,0,A,514.0897777777776,A,A,566.0,1506.5,106.8,0.109,18.086945135703676,56120.0,4.2,2704.0,40.0,A
A03356,SOLVE003,571,581.0,18.13037279967789,0.152,1982.0,50860.0,75.4,4.8,1822.0,36.4,A,1000–2000,0,A,933.9306666666666,A,A,576.0,1359.2666666666667,80.93333333333332,0.09533333333333334,18.086945135703676,56726.666666666664,3.7999999999999994,2049.4666666666667,38.86666666666667,A
A04764,SOLVE003,581,591.0,18.13037279967789,0.068,1064.8,57940.0,29.2,3.0,740.4,36.6,A,1000–2000,0,A,498.50615873015863,A,A,586.0,1312.8,55.866666666666674,0.09799999999999999,18.086945135703676,52473.333333333336,4.0,1127.7333333333333,37.53333333333334,A
A04626,SOLVE003,591,601.0,18.13037279967789,0.074,891.6,48620.0,63.0,4.2,820.8,39.6,A,500–1000,0,A,428.43784126984116,A,A,596.0,919.2166666666667,49.42083333333333,0.06170833333333333,18.086945135703676,52528.333333333336,4.0249999999999995,768.9625,36.170833333333334,A
A05579,SOLVE003,601,611.0,18.13037279967789,0.043125,801.25,51025.0,56.0625,4.875,745.6875,32.3125,A,500–1000,0,A,384.8581746031746,A,A,606.0,846.4250000000001,59.53124999999999,0.05856249999999999,18.086945135703676,49822.5,4.5375,783.2437499999999,35.95625,A
A04316,SOLVE004,541,551.0,18.13037279967789,0.088,2213.6,55400.0,131.2,3.0,1963.8,25.4,A,2000–4000,1,A,1056.4667936507935,A,A,546.0,2446.3,112.1,0.093,18.086945135703676,57340.0,3.0,2024.6999999999998,24.4,A
A04127,SOLVE004,551,561.0,18.13037279967789,0.098,2679.0,59280.0,93.0,3.0,2085.6,23.4,A,2000–4000,1,A,1259.7867936507935,A,A,556.0,2088.733333333333,89.06666666666666,0.07933333333333333,18.086945135703676,52913.333333333336,3.0,1903.6666666666667,24.266666666666666,A
A05248,SOLVE004,561,571.0,18.13037279967789,0.052,1373.6,44060.0,43.0,3.0,1661.6,24.0,A,1000–2000,1,A,644.590984126984,A,A,566.0,1816.8666666666668,60.333333333333336,0.07733333333333334,18.086945135703676,45760.0,3.0,1808.0,26.266666666666666,A
A04438,SOLVE004,571,581.0,18.13037279967789,0.082,1398.0,33940.0,45.0,3.0,1676.8,31.4,A,1000–2000,1,A,656.4017777777777,A,A,576.0,1423.8666666666668,69.26666666666667,0.076,18.086945135703676,42033.333333333336,3.0,1533.8666666666668,27.53333333333333,A
A04198,SOLVE004,581,591.0,18.13037279967789,0.094,1500.0,48100.0,119.8,3.0,1263.2,27.2,A,1000–2000,1,A,724.7286349206348,A,A,586.0,1220.2,69.26666666666667,0.07333333333333335,18.086945135703676,54440.0,3.0,2105.6666666666665,35.86666666666667,A
A05532,SOLVE004,591,601.0,18.13037279967789,0.044,762.6,81280.0,43.0,3.0,3377.0,49.0,A,500–1000,1,A,363.3349841269841,A,A,596.0,972.4666666666667,61.13333333333333,0.062,18.086945135703676,67726.66666666667,3.1333333333333333,1920.1333333333334,40.46666666666666,A
A05394,SOLVE004,601,611.0,18.13037279967789,0.048,654.8,73800.0,20.6,3.4,1120.2,45.2,A,500–1000,1,A,307.3137777777777,A,A,606.0,730.0666666666666,36.4,0.043333333333333335,18.086945135703676,76600.0,3.1333333333333333,1863.1333333333334,44.4,A
A05795,SOLVE004,611,621.0,18.13037279967789,0.038,772.8,74720.0,45.6,3.0,1092.2,39.0,A,500–1000,1,A,368.7715555555555,A,A,616.0,590.5333333333333,25.733333333333334,0.042666666666666665,18.086945135703676,72220.0,3.1333333333333333,977.1333333333336,38.86666666666667,A
A05617,SOLVE004,621,631.0,18.13037279967789,0.042,344.0,68140.0,11.0,3.0,719.0,32.4,A,250–500,1,A,161.50273015873015,A,A,626.0,654.8666666666667,32.26666666666667,0.04466666666666667,18.086945135703676,75086.66666666667,3.0,2347.0000000000005,35.333333333333336,A
A05189,SOLVE004,631,641.0,18.13037279967789,0.054,847.8,82400.0,40.2,3.0,5229.8,34.6,A,500–1000,1,A,401.75657142857136,A,A,636.0,643.6,21.400000000000002,0.051333333333333335,18.086945135703676,78413.33333333333,7.133333333333333,4248.333333333333,51.333333333333336,A
A05078,SOLVE004,641,651.0,18.13037279967789,0.058,739.0,84700.0,13.0,15.4,6796.2,87.0,A,500–1000,1,A,343.903619047619,A,A,646.0,745.6666666666666,79.86666666666667,0.05533333333333334,18.086945135703676,79580.0,7.133333333333333,5427.933333333333,52.0,A
A05190,SOLVE004,651,661.0,18.13037279967789,0.054,650.2,71640.0,186.4,3.0,4257.8,34.4,A,500–1000,1,A,352.56926984126983,A,A,656.0,859.1333333333333,123.46666666666665,0.06933333333333334,18.086945135703676,76940.0,20.066666666666666,5778.666666666667,107.66666666666667,A
A04167,SOLVE004,661,671.0,18.13037279967789,0.096,1188.2,74480.0,171.0,41.8,6282.0,201.6,A,1000–2000,1,A,595.83073015873,A,A,666.0,702.7333333333335,122.86666666666667,0.060666666666666674,18.086945135703676,67233.33333333333,29.46666666666667,4754.666666666667,116.39999999999999,A
A06106,SOLVE004,671,681.0,18.13037279967789,0.032,269.8,55580.0,11.2,43.6,3724.2,113.2,A,250–500,1,A,127.4017777777778,A,A,676.0,1011.1333333333336,77.46666666666665,0.06733333333333334,18.086945135703676,62353.333333333336,31.133333333333336,3797.6000000000004,121.0,A
A04631,SOLVE004,681,691.0,18.13037279967789,0.074,1575.4,57000.0,50.2,8.0,1386.6,48.2,A,1000–2000,1,A,739.5457777777777,A,A,686.0,2162.7999999999997,37.066666666666656,0.12533333333333332,18.086945135703676,55153.333333333336,18.2,4569.866666666666,63.46666666666667,A
A02342,SOLVE004,691,701.0,18.13037279967789,0.27,4643.2,52880.0,49.8,3.0,8598.8,29.0,A,>4000,1,A,2151.6431746031744,A,A,696.0,2474.6666666666665,39.066666666666656,0.13399999999999998,18.086945135703676,55280.0,4.666666666666667,4949.799999999999,34.86666666666667,A
A05079,SOLVE004,701,711.0,18.13037279967789,0.058,1205.4,55960.0,17.2,3.0,4864.0,27.4,A,1000–2000,1,A,559.7956825396825,A,A,706.0,2605.3333333333335,33.499999999999986,0.2006666666666667,18.086945135703676,58293.333333333336,3.533333333333333,5204.599999999999,27.666666666666668,A
A02308,SOLVE004,711,721.0,18.13037279967789,0.274,1967.4,66040.0,17.19121062129759,4.6,2151.0,26.6,A,1000–2000,1,A,1267.9774222222222,A,A,716.0,1295.9333333333336,18.699999999999985,0.146,18.086945135703676,60500.0,52.666666666666664,3214.6,156.86666666666667,A
A03979,SOLVE004,721,731.0,18.13037279967789,0.106,715.0,59500.0,20.2,150.4,2628.8,416.6,A,500–1000,1,A,334.92533333333336,A,A,726.0,1046.0000000000002,48.499999999999986,0.132,18.086945135703676,62906.666666666664,52.800000000000004,2206.266666666667,159.60000000000002,A
A07072,SOLVE004,731,741.0,18.13037279967789,0.016,455.6,63180.0,76.8,3.4,1839.0,35.6,A,250–500,1,A,231.66755555555554,A,A,736.0,589.0000000000003,62.66666666666666,0.047999999999999994,18.086945135703676,63013.333333333336,52.26666666666667,1665.5333333333335,160.73333333333335,A
A06655,SOLVE004,741,751.0,18.13037279967789,0.022,596.4,66360.0,91.0,3.0,528.8,30.0,A,500–1000,1,A,300.5389206349206,A,A,746.0,569.7333333333337,70.26666666666667,0.026333333333333334,18.086945135703676,64153.333333333336,3.1333333333333333,937.0666666666666,32.06666666666667,A
A05665,SOLVE004,751,761.0,18.13037279967789,0.041,657.2,62920.0,43.0,3.0,443.4,30.6,A,500–1000,1,A,314.8167619047619,A,A,756.0,512.3333333333336,49.79999999999999,0.025333333333333333,18.086945135703676,63986.666666666664,3.0,376.46666666666664,28.066666666666666,A
A07320,SOLVE004,761,771.0,18.13037279967789,0.013,283.4,62680.0,15.4,3.0,157.2,23.6,A,250–500,1,A,134.85726984126984,A,A,766.0,541.466666666667,23.666666666666657,0.038,18.086945135703676,62413.333333333336,3.0,760.0,29.8,A
A05021,SOLVE004,771,781.0,18.13037279967789,0.06,683.8,61640.0,12.6,3.0,1679.4,35.2,A,500–1000,1,A,318.3803174603174,A,A,776.0,607.1333333333337,37.39999999999999,0.043000000000000003,18.086945135703676,57480.0,3.0,1047.7333333333333,35.333333333333336,A
A05138,SOLVE004,781,791.0,18.13037279967789,0.056,854.2,48120.0,84.2,3.0,1306.6,47.2,A,500–1000,1,A,417.2745396825396,A,A,786.0,589.2000000000003,36.59999999999999,0.04633333333333333,18.086945135703676,53026.666666666664,3.0,1072.8666666666666,38.66666666666667,A
A06607,SOLVE004,791,801.0,18.13037279967789,0.023,229.6,49320.0,13.0,3.0,232.6,33.6,A,100–250,1,A,109.40901587301586,A,A,796.0,411.73333333333375,38.99999999999999,0.032,18.086945135703676,48353.333333333336,3.6666666666666665,643.0,44.46666666666667,A
A06996,SOLVE004,801,811.0,18.13037279967789,0.017,151.4,47620.0,19.8,5.0,389.8,52.6,A,100–250,1,B,75.35352380952381,A,A,806.0,260.33333333333366,13.933333333333323,0.023000000000000003,18.086945135703676,47533.333333333336,3.6666666666666665,295.8666666666666,38.86666666666667,A
A06265,SOLVE004,811,821.0,18.13037279967789,0.029,400.0,45660.0,9.0,3.0,265.2,30.4,A,250–500,1,A,186.70577777777774,A,A,816.0,367.9333333333336,48.933333333333316,0.022333333333333334,18.086945135703676,46566.666666666664,3.6666666666666665,565.5333333333333,39.46666666666667,A
A06733,SOLVE004,821,831.0,18.13037279967789,0.021,552.4,46420.0,118.0,3.0,1041.6,35.4,A,500–1000,1,A,287.99898412698406,A,A,826.0,520.6000000000003,57.533333333333324,0.023333333333333334,18.086945135703676,45873.333333333336,23.46666666666667,1468.6666666666667,67.60000000000001,A
A06787,SOLVE004,831,841.0,18.13037279967789,0.02,609.4,45540.0,45.6,64.4,3099.2,137.0,A,500–1000,1,A,293.551111111111,A,A,836.0,421.1174129333336,55.801990049666664,0.016502487666666666,18.086945135703676,46748.35821,23.46666666666667,1562.0875622,67.49651741333334,A
A07817,SOLVE004,841,847.7,18.13037279967789,0.008507463,101.5522388,48285.07463,3.805970149,3.0,545.4626866,30.08955224,A,100–250,1,B,47.83584932206349,B,B,844.35,355.4761194000004,24.702985074499992,0.014253731499999998,18.086945135703676,46912.537314999994,33.7,1822.3313432999998,83.54477612,A
A03674,SOLVE007,561,571.0,18.13037279967789,0.126,2328.6,59860.0,76.2,3.0,2782.0,29.6,A,2000–4000,2,A,1093.6986666666667,A,A,566.0,2175.5,84.1,0.11599999999999999,18.086945135703676,62880.0,21.6,3249.6,74.6,A
A03972,SOLVE007,571,581.0,18.13037279967789,0.106,2022.4,65900.0,92.0,40.2,3717.2,119.6,A,2000–4000,2,A,957.2586666666666,A,A,576.0,2327.0,68.2,0.10266666666666667,18.086945135703676,59153.333333333336,15.4,3178.933333333333,59.599999999999994,A
A04584,SOLVE007,581,591.0,18.13037279967789,0.076,2630.0,51700.0,36.4,3.0,3037.6,29.6,A,2000–4000,2,A,1221.054222222222,A,A,586.0,2036.7333333333333,69.39999999999999,0.08333333333333333,18.086945135703676,54626.666666666664,15.4,2766.933333333333,58.93333333333334,A
A04769,SOLVE007,591,601.0,18.13037279967789,0.068,1457.8,46280.0,79.8,3.0,1546.0,27.6,A,1000–2000,2,A,693.8680634920634,A,A,596.0,2037.8,63.46666666666667,0.078,18.086945135703676,48990.0,3.0,2033.5333333333335,27.933333333333337,A
A04276,SOLVE007,601,611.0,18.13037279967789,0.09,2025.6,48938.54116116503,74.2,3.0,1517.0,26.6,A,2000–4000,2,A,953.6419047619047,A,A,606.0,1494.5333333333335,61.93333333333334,0.06933333333333334,18.086945135703676,53720.0,3.0,1946.3333333333333,30.333333333333332,A
A05325,SOLVE007,611,621.0,18.13037279967789,0.05,1000.2,61160.0,31.8,3.0,2776.0,36.8,A,1000–2000,2,A,469.50793650793645,A,A,616.0,1964.7333333333333,51.53333333333334,0.09266666666666667,18.086945135703676,54330.0,4.133333333333334,2649.0,35.53333333333333,A
A03530,SOLVE007,621,631.0,18.13037279967789,0.138,2868.4,47500.0,48.6,6.4,3654.0,43.2,A,2000–4000,2,A,1334.2953650793652,A,A,626.0,2055.266666666667,79.13333333333334,0.11533333333333334,18.086945135703676,53633.333333333336,4.133333333333334,3247.133333333333,34.93333333333334,A
A03290,SOLVE007,631,641.0,18.13037279967789,0.158,2297.2,52240.0,157.0,3.0,3311.4,24.8,A,2000–4000,2,A,1102.3385396825395,A,A,636.0,2425.2000000000003,102.53333333333335,0.132,18.086945135703676,52786.666666666664,4.133333333333334,2909.5333333333333,31.73333333333333,A
A04102,SOLVE007,641,651.0,18.13037279967789,0.1,2110.0,58620.0,102.0,3.0,1763.2,27.2,A,2000–4000,2,A,1000.4380952380951,A,A,646.0,1814.7333333333333,93.13333333333333,0.11333333333333334,18.086945135703676,54173.333333333336,3.0,2249.0,27.266666666666666,A
A04445,SOLVE007,651,661.0,18.13037279967789,0.082,1037.0,51660.0,20.4,3.0,1672.4,29.8,A,1000–2000,2,A,483.1986031746032,A,A,656.0,1385.6000000000001,108.0,0.08400000000000002,18.086945135703676,53206.666666666664,3.0,1571.6666666666667,26.666666666666668,A
A04724,SOLVE007,661,671.0,18.13037279967789,0.07,1009.8,49340.0,201.6,3.0,1279.4,23.0,A,1000–2000,2,A,522.4463492063492,A,A,666.0,1327.488889,140.44444443333336,0.09177777766666669,18.086945135703676,51322.22222333334,3.0,1596.4888890000002,26.933333333333334,A
A03703,SOLVE007,671,677.0,18.13037279967789,0.123333333,1935.666667,52966.66667,199.3333333,3.0,1837.666667,28.0,A,1000–2000,2,A,948.0048678686982,A,A,674.0,1472.7333334999998,200.46666665000004,0.09666666650000003,18.086945135703676,51153.333335,3.0,1558.5333335,25.5,A
A05763,SOLVE008,211,221.0,18.13037279967789,0.039,9.4,35160.0,53.4,6.8,33620.0,48.4,B,<100,3,B,19.594031746031746,B,B,216.0,13.5,94.7,0.053500000000000006,18.086945135703676,77250.0,21.5,87680.0,73.1,B
A04793,SOLVE008,221,231.0,18.13037279967789,0.068,17.6,119340.0,136.0,36.2,141740.0,97.8,B,<100,3,B,46.976,B,B,226.0,15.933333333333332,68.0,0.06933333333333334,18.086945135703676,67533.33333333333,17.933333333333334,68533.33333333333,77.33333333333333,B
